Areas,Diameters,Counts,Energy,Energy Difference,Limited Diameter,Limited Counts,Limited Energy,Limited Energy Difference,dN_dE,dN_dE_sr_s
1.058442988,1.160883917,1,17.75021446,1.10855847,1.504677529,3,8.079657415,0.236033973,12.71003476,57924.75295
1.100780708,1.183873949,1,16.64165599,0.997160835,1.522484984,1,7.843623442,0.420335104,2.379054212,10842.30925
1.143118427,1.206425955,1,15.64449516,1.711661069,1.557489211,1,7.423288338,0.672083527,1.487910297,6781.007136
1.227793866,1.250310243,1,13.93283409,1.40366174,1.625237483,1,6.751204812,0.390120259,2.563312154,11682.04699
1.312469305,1.29270562,2,12.52917235,0.607149484,1.674250595,2,6.361084553,0.112763949,17.73616493,80830.85462
1.354807025,1.313390224,1,11.92202286,0.553017792,1.690272497,4,6.248320604,0.105234495,38.01035011,173228.4908
1.397144744,1.333754077,1,11.36900507,0.965709279,1.706143948,2,6.143086109,0.098282332,20.34953752,92741.0472
1.481820183,1.373576374,2,10.40329579,0.422083272,1.721869109,1,6.044803777,0.177770243,5.625238413,25636.47949
1.524157903,1.3930607,1,9.981212521,1.901555106,1.752896274,2,5.867033534,0.155719405,12.84361442,58533.52932
1.77818422,1.504677529,3,8.079657415,0.236033973,1.783383712,2,5.711314128,0.070579304,28.33691857,129142.7631
1.820521939,1.522484984,1,7.843623442,0.420335104,1.798433631,1,5.640734824,0.066188307,15.10840889,68855.11088
1.905197378,1.557489211,1,7.423288338,0.672083527,1.813358647,1,5.574546518,0.062109052,16.10071275,73377.43968
2.074548257,1.625237483,1,6.751204812,0.390120259,1.82816182,1,5.512437466,0.058316461,17.14781685,78149.51522
2.201561415,1.674250595,2,6.361084553,0.112763949,1.842846087,2,5.454121004,0.054787726,36.50452686,166365.8472
2.243899135,1.690272497,4,6.248320604,0.105234495,1.857414267,1,5.399333279,0.051502073,19.41669426,88489.70438
2.286236854,1.706143948,2,6.143086109,0.098282332,1.871869071,2,5.347831206,0.048440568,41.28770787,188164.7316
2.328574574,1.721869109,1,6.044803777,0.177770243,1.886213105,1,5.299390639,0.088508303,11.29837499,51491.25023
2.413250013,1.752896274,2,5.867033534,0.155719405,1.914578803,3,5.210882335,0.040435463,74.19229972,338124.2235
2.497925452,1.783383712,2,5.711314128,0.070579304,1.928605209,3,5.170446872,0.038111985,78.71539636,358737.7985
2.540263171,1.798433631,1,5.640734824,0.066188307,1.942530337,2,5.132334887,0.035939832,55.64856271,253612.9372
2.582600891,1.813358647,1,5.574546518,0.062109052,1.95635635,3,5.096395055,0.096138673,31.20492401,142213.4203
2.62493861,1.82816182,1,5.512437466,0.058316461,1.99726021,3,5.000256382,0.028555595,105.0582192,478792.6633
2.66727633,1.842846087,2,5.454121004,0.054787726,2.010709926,4,4.971700786,0.026990555,148.1999894,675407.1046
2.709614049,1.857414267,1,5.399333279,0.051502073,2.024070271,1,4.944710231,0.025522351,39.18134276,178565.1765
2.751951769,1.871869071,2,5.347831206,0.048440568,2.037343006,1,4.91918788,0.024144257,41.41771691,188757.2352
2.794289488,1.886213105,1,5.299390639,0.088508303,2.050529829,3,4.895043623,0.022850066,131.290649,598344.4226
2.878964927,1.914578803,3,5.210882335,0.040435463,2.06363239,2,4.872193557,0.021634049,92.44686253,421317.6262
2.921302647,1.928605209,3,5.170446872,0.038111985,2.076652281,1,4.850559507,0.075762415,13.19915691,60153.8798
2.963640366,1.942530337,2,5.132334887,0.035939832,2.127935369,2,4.774797092,0.016554618,120.812208,550589.9423
3.005978086,1.95635635,3,5.096395055,0.096138673,2.140564176,1,4.758242474,0.015709362,63.65630735,290107.4582
3.132991245,1.99726021,3,5.000256382,0.028555595,2.153118912,2,4.742533112,0.014912548,134.1152447,611217.2441
3.175328964,2.010709926,4,4.971700786,0.026990555,2.165600866,3,4.727620564,0.014161074,211.8483459,965478.3273
3.217666684,2.024070271,1,4.944710231,0.025522351,2.178011287,1,4.71345949,0.026234885,38.11718608,173715.3854
3.260004403,2.037343006,1,4.91918788,0.024144257,2.202622366,2,4.687224605,0.012150886,164.5970502,750135.1219
3.302342123,2.050529829,3,4.895043623,0.022850066,2.214825353,1,4.675073719,0.011553921,86.55070566,394446.4621
3.344679842,2.06363239,2,4.872193557,0.021634049,2.226961473,1,4.663519798,0.010989773,90.99368803,414694.9241
3.387017562,2.076652281,1,4.850559507,0.075762415,2.239031813,1,4.652530025,0.010456434,95.6349026,435846.8102
3.55636844,2.127935369,2,4.774797092,0.016554618,2.251037432,1,4.642073592,0.009952028,100.4820315,457937.1309
3.598706159,2.140564176,1,4.758242474,0.015709362,2.262979359,1,4.632121563,0.027093479,36.90925025,168210.3349
3.641043879,2.153118912,2,4.742533112,0.014912548,2.298432891,1,4.605028084,0.008190507,122.0925664,556425.0516
